cve_id,description,severity,published_date,affected_component,remediation
CVE-2026-1001,"Critical flaw in Hikvision camera RTSP implementation allows unauthenticated users to access live video streams by bypasssing the authentication check. Affects versions prior to 5.6.8.",CRITICAL,2026-03-01,RTSP Service,"Update firmware to version 5.6.8 or later. Disable RTSP if not required, or restrict access via firewall."
CVE-2026-1002,"Dahua DVRs and NVRs manufactured before Oct 2025 contain a default backdoor password for the 'admin' account when accessed via specific legacy mobile apps. This allows full remote administrative access.",HIGH,2026-02-15,Web Interface,"Update to the latest firmware and perform a factory reset to invalidate the legacy credentials. Ensure multi-factor authentication is enabled if supported."
CVE-2026-1003,"Axis Communication IP cameras have a buffer overflow in the SOAP API handler. Sending an oversized XML payload can lead to memory corruption and potential Remote Code Execution (RCE).",HIGH,2026-02-28,SOAP API,"Apply security patch AX-2026-1. Axis recommends disabling ONVIF/SOAP services if they are not actively being used for integration."
CVE-2026-1004,"TP-Link Tapo C200 monitoring application has a path traversal vulnerability in the local recording playback module. An attacker on the same network can access sensitive system logs and configuration files.",MEDIUM,2026-03-05,Cloud Portal,"Update the Tapo mobile application to version 2.11 or higher. Ensure the camera is on an isolated VLAN from untrusted devices."
CVE-2026-1005,"Wyze Cam v3 firmware contains hardcoded SSH RSA private keys that are shared across all devices in a specific production batch. Allows root access if the SSH service is enabled.",CRITICAL,2026-01-20,System Shell,"Disable SSH via the app settings. Wyze has released a critical update v3.10.5 that rotates these keys and disables SSH by default."
CVE-2026-1006,"Reolink NVR web server is vulnerable to a stack-based buffer overflow when parsing the 'User-Agent' header. This can be exploited for RCE with root privileges.",CRITICAL,2026-03-07,HTTP Server,"Install the March 2026 security patch (REO-MAR-2026). As a workaround, put the NVR behind a reverse proxy that sanitizes HTTP headers."
CVE-2026-1007,"Lorex Cloud API fails to properly validate the 'session_id' for cross-account requests. An attacker can view camera feeds of other users by incrementing the camera ID in API requests.",MEDIUM,2026-02-10,API Endpoint,"Lorex has updated their cloud infrastructure to fix this server-side. No user action required, but rotating API keys is recommended as a precaution."
CVE-2026-1008,"Amcrest cameras are susceptible to a Denial of Service (DoS) attack. A sequence of malformed ONVIF Discovery packets can crash the networking stack, requiring a physical power cycle.",LOW,2026-03-02,ONVIF Service,"Disable ONVIF if not used. Amcrest is working on a firmware fix. Restrict local network access to trusted devices only."
CVE-2026-1009,"Arlo Pro 4 cameras store local diagnostic logs in cleartext on the SD card, including Wi-Fi credentials and motion trigger timestamps. If the SD card is stolen, this data is exposed.",LOW,2026-01-15,Storage,"Enable log encryption in the Arlo Secure app settings. Arlo recommends using the cloud-only logging mode for maximum security in high-risk locations."
CVE-2026-1010,"Ring Video Doorbell admin panel has a Cross-Site Request Forgery (CSRF) vulnerability. An attacker can trick a logged-in admin into changing device settings by clicking a malicious link.",MEDIUM,2026-02-25,Web UI,"Update Ring firmware to the latest version. Always log out of the admin console when not in use and avoid clicking suspicious links."
CVE-2026-2001,"Foscam IP cameras contain a vulnerability in the motion detection notification system. Maliciously crafted notifications can be used to inject arbitrary scripts into the recipient's browser (XSS).",MEDIUM,2026-03-04,Notification System,"Update Foscam firmware to v2.3.1. Disable external motion alerts until the update is applied."
CVE-2026-2002,"Swann Security DVRs have an authentication bypass in the P2P connection protocol. An attacker knowing the device serial number can connect without a password.",HIGH,2026-02-20,P2P Protocol,"Disable P2P and use a VPN for remote access. Swann has released a mandatory software update for its mobile app to address this."
CVE-2026-2003,"Eufy HomeBase 2 fails to encrypt local storage of recorded clips when the device is offline. A physical attacker can extract the storage chips and view raw MP4 files.",HIGH,2026-01-30,Internal Storage,"Eufy recommends keeping the HomeBase online. A firmware update (HB2-V4.2) adds hardware-based encryption for local storage."
CVE-2026-2004,"Blink Outdoor cameras are vulnerable to a relay attack. An attacker near the camera can capture and replay the 'arm/disarm' signals to gain unauthorized access.",CRITICAL,2026-03-08,Wireless Protocol,"Install the latest sync module update. Blink has implemented rolling codes in the latest protocol version to prevent replay attacks."
CVE-2026-2005,"Zosi Smart DVRs have a hardcoded password for the root user in the Telnet service. Telnet is enabled by default on many models.",CRITICAL,2026-02-12,Telnet,"Disable Telnet via the system settings menu. If Telnet cannot be disabled, block port 23 on the router firewall."
CVE-2026-2006,"Netatmo Presence cameras have an insecure firmware update process. The update server does not use HTTPS, allowing a man-in-the-middle attacker to inject malicious firmware.",HIGH,2026-03-09,Update Module,"Update to the latest firmware which adds certificate pinning and HTTPS support for the update server."
CVE-2026-2007,"Vivotek IP cameras have a directory traversal vulnerability in the RTSP server. Attackers can read arbitrary files from the camera's filesystem.",HIGH,2026-02-27,RTSP Server,"Apply firmware patch VIVO-2026-02. Restrict RTSP access to the management VLAN."
CVE-2026-2008,"Honeywell Lyric Controller has an insecure default configuration where the 'installer code' is set to 4112. Many installers do not change this, allowing unauthorized system disarming.",MEDIUM,2026-01-25,Control Panel,"Change the installer code and user codes immediately. Use a 6-digit PIN if supported."
CVE-2026-2009,"SimpliSafe Base Station v3 is vulnerable to signal jamming that can prevent motion sensors from triggering an alarm. The anti-jamming detection can be bypassed.",MEDIUM,2026-03-02,Wireless Comm,"SimpliSafe has released an OTA update for the Base Station that improves jam detection sensitivity. Ensure your system is connected to Wi-Fi for updates."
CVE-2026-2010,"Nest Cam (Battery) has a vulnerability in the USB charging port that allows a local attacker to access a debug shell by grounding specific pins while booting.",LOW,2026-01-05,Hardware Port,"Physical security is required. Newer hardware revisions have these pins disabled."
